,Myh7,Myh2,Myh1,colMax,ID,Filename,Type,Exercise,Laminin,Area,Sample,FibreType
1,0.085365854,306.2439024,359.5609756,359.5609756,149,PL1,FT, Pre,242,3368.162839,P4,Myh1+
2,0.089108911,193.5709571,355.3828383,355.3828383,38,AB1,FT, Pre,294,2145.511482,P3,Myh1+
3,0.089108911,234.5709571,515.3828383,515.3828383,383,AB1,FT, Pre,414,7041.440501,P3,Myh1+
4,0.089108911,440.5709571,458.3828383,458.3828383,354,AB1,FT, Pre,372,6704.488518,P3,Myh1+
5,0.092511013,370.3303965,70.14977974,370.3303965,95,PJ1,FT, Pre,278,7055.114823,P5,Myh2+
6,0.092511013,449.3303965,76.14977974,449.3303965,42,PJ1,FT, Pre,374,1670.981211,P5,Myh2+
7,0.092511013,455.3303965,52.14977974,455.3303965,210,PJ1,FT, Pre,214,4122.338205,P5,Myh2+
8,0.092511013,876.3303965,127.1497797,876.3303965,459,PJ1,FT, Pre,267,6057.098121,P5,Myh2+
9,0.327402135,30.20640569,309.0747331,309.0747331,197,M1189-16,FT, Pre,238,7579.331942,C2,Myh1+
10,0.377777778,40.89444444,23.30740741,40.89444444,981,M1217-16,FT, Pre,237,1632.881002,C4,Myh2+
11,0.556962025,30.33227848,29.10126582,30.33227848,64,JG4,FT,Post,420,1604.80167,P1,Myh2+
12,0.556962025,34.33227848,8.101265823,34.33227848,726,JG4,FT,Post,233,868.1628392,P1,Myh2+
13,0.573684211,221.8815789,1028.584211,1028.584211,269,DS1,FT, Pre,393,1057.202505,P2,Myh1+
14,0.573684211,363.8815789,585.5842105,585.5842105,337,DS1,FT, Pre,469,3260.020877,P2,Myh1+
15,0.573684211,499.8815789,58.58421053,499.8815789,14,DS1,FT, Pre,296,3528.914405,P2,Myh2+
16,0.573684211,744.8815789,113.5842105,744.8815789,56,DS1,FT, Pre,340,5323.799582,P2,Myh2+
17,0.573684211,777.8815789,95.58421053,777.8815789,73,DS1,FT, Pre,308,5333.611691,P2,Myh2+
18,0.573684211,801.8815789,108.5842105,801.8815789,65,DS1,FT, Pre,328,6238.935282,P2,Myh2+
19,0.573684211,865.8815789,117.5842105,865.8815789,501,DS1,FT, Pre,377,4832.359081,P2,Myh2+
20,0.588235294,123.8564706,487.1788235,487.1788235,108,PL4,FT,Post,276,1298.329854,P4,Myh1+
21,1.085365854,186.2439024,539.5609756,539.5609756,156,PL1,FT, Pre,251,1337.473904,P4,Myh1+
22,1.085365854,191.2439024,519.5609756,519.5609756,125,PL1,FT, Pre,219,2915.344468,P4,Myh1+
23,1.085365854,209.2439024,440.5609756,440.5609756,142,PL1,FT, Pre,332,5555.323591,P4,Myh1+
24,1.085365854,261.2439024,338.5609756,338.5609756,147,PL1,FT, Pre,289,2090.187891,P4,Myh1+
25,1.085365854,261.2439024,493.5609756,493.5609756,254,PL1,FT, Pre,260,3851.77453,P4,Myh1+
26,1.085365854,276.2439024,456.5609756,456.5609756,155,PL1,FT, Pre,248,5314.509395,P4,Myh1+
27,1.085365854,394.2439024,398.5609756,398.5609756,133,PL1,FT, Pre,251,5053.549061,P4,Myh1+
28,1.085365854,395.2439024,286.5609756,395.2439024,85,PL1,FT, Pre,238,3020.45929,P4,Myh2+
29,1.085365854,455.2439024,496.5609756,496.5609756,121,PL1,FT, Pre,258,3867.118998,P4,Myh1+
30,1.085365854,559.2439024,440.5609756,559.2439024,123,PL1,FT, Pre,249,2629.645094,P4,Myh2+
31,1.085365854,614.2439024,342.5609756,614.2439024,253,PL1,FT, Pre,266,5413.674322,P4,Myh2+
32,1.085365854,744.2439024,151.5609756,744.2439024,130,PL1,FT, Pre,297,1050.208768,P4,Myh2+
