gene_id,P1-1,P1-4,P2-1,P2-4,P3-1,P3-4,P4-1,P4-4,P5-1,P5-4
ENSG00000000938,5,17,14,11,23,3,9,13,10,48
ENSG00000001460,8,20,20,16,9,14,29,18,10,24
ENSG00000001461,87,56,88,93,92,114,133,122,80,131
ENSG00000001626,0,0,0,0,0,0,0,0,0,0
ENSG00000002079,0,3,0,0,0,0,0,0,0,0
ENSG00000002587,4,7,8,4,8,8,10,0,7,4
ENSG00000002726,0,0,0,0,0,0,0,0,0,0
ENSG00000002745,0,0,0,0,0,0,0,0,0,0
ENSG00000002746,10,13,7,9,6,11,10,15,6,5
ENSG00000003096,27,54,27,26,27,44,38,43,29,30
ENSG00000003400,52,109,73,61,77,90,92,68,47,48
ENSG00000004660,21,49,13,13,16,13,31,22,25,40
ENSG00000004777,36,70,37,13,18,20,23,16,26,21
ENSG00000004809,0,2,0,0,0,0,0,0,0,0
ENSG00000004838,3,8,6,8,9,2,9,8,0,0
ENSG00000004846,0,4,0,0,0,0,0,0,0,0
ENSG00000004939,0,0,0,0,0,0,0,0,0,0
ENSG00000004948,7,19,6,7,20,9,10,9,7,10
ENSG00000005001,0,0,0,0,0,0,0,0,0,0
ENSG00000005108,3,18,5,11,10,25,6,10,5,7
ENSG00000005249,46,71,31,35,22,42,45,67,37,49
ENSG00000005381,7,5,7,5,11,6,4,0,5,0
ENSG00000005421,0,0,0,0,0,0,0,0,0,0
ENSG00000005844,18,16,17,9,10,6,19,13,9,10
ENSG00000005961,0,0,0,0,0,0,0,0,0,0
ENSG00000006042,27,99,41,12,10,31,36,42,23,46
ENSG00000006059,0,0,0,0,0,0,0,0,0,0
ENSG00000006116,0,0,0,0,0,0,0,0,0,0
ENSG00000006128,0,0,0,0,0,0,0,0,0,0
ENSG00000006283,0,2,3,0,0,0,0,0,0,0
ENSG00000006377,0,0,0,0,0,5,2,0,0,2
ENSG00000006432,52,63,32,29,54,44,46,47,40,31
ENSG00000006468,25,28,5,15,8,32,21,23,10,17
ENSG00000006534,24,31,7,6,7,16,12,12,9,13
ENSG00000006555,0,0,0,0,0,0,0,0,0,0
ENSG00000006606,0,0,0,0,0,0,0,0,0,0
ENSG00000006611,0,2,0,0,0,0,0,0,0,1
ENSG00000006638,6,10,7,6,7,7,8,0,11,15
ENSG00000006659,0,0,0,0,0,0,0,0,0,0
ENSG00000006740,45,48,27,24,26,47,54,52,34,51
ENSG00000006747,0,0,2,0,0,0,0,0,0,0
ENSG00000006756,26,66,21,13,14,23,33,23,12,19
ENSG00000007001,0,0,0,0,0,0,0,0,0,0
ENSG00000007038,0,0,0,0,0,0,0,0,0,0
ENSG00000007129,0,0,0,0,0,3,0,0,0,0
ENSG00000007264,0,5,0,0,2,0,0,0,0,4
ENSG00000007306,0,0,0,0,0,0,0,0,0,0
ENSG00000007312,5,14,3,13,7,8,20,12,18,17
ENSG00000007350,4,10,5,10,0,0,13,10,6,4
ENSG00000007952,0,0,0,0,0,0,0,0,0,0
ENSG00000007968,3,6,0,0,0,5,0,0,0,0
ENSG00000008086,68,65,71,69,52,84,73,67,53,45
ENSG00000008118,23,4,0,0,0,0,0,0,5,10
ENSG00000008196,0,0,0,0,0,0,0,0,0,0
ENSG00000008197,0,0,0,0,0,0,0,0,0,0
ENSG00000008277,29,53,63,58,34,45,66,81,27,15
ENSG00000008300,6,2,8,4,8,6,8,3,6,1
ENSG00000008323,0,2,0,0,0,0,0,0,0,0
ENSG00000009765,0,5,0,0,0,0,0,0,0,3
ENSG00000009790,4,7,11,0,3,5,10,9,0,7
ENSG00000010310,0,3,0,3,0,3,1,0,0,0
ENSG00000010379,5,39,0,0,0,2,0,0,0,0
ENSG00000010539,22,53,21,19,35,28,41,35,22,26
ENSG00000010932,0,23,0,0,0,4,0,4,0,13
ENSG00000011332,0,0,0,0,0,0,0,0,0,0
ENSG00000011347,68,85,48,32,42,60,60,61,27,35
ENSG00000011426,3,7,0,0,0,4,0,0,0,0
ENSG00000011590,0,3,0,0,0,0,0,0,0,0
ENSG00000011677,0,0,0,0,0,0,0,0,2,0
ENSG00000012124,6,7,2,3,4,0,7,7,5,4
ENSG00000012223,8,7,15,7,7,3,9,0,21,13
ENSG00000012504,0,0,0,0,0,0,0,0,0,0
ENSG00000013016,25,49,24,38,33,54,57,27,23,62
ENSG00000013293,0,3,2,0,0,0,0,0,0,0
ENSG00000013297,7,37,8,5,10,10,8,8,10,9
ENSG00000013588,5,18,8,4,3,0,1,0,1,39
ENSG00000013619,48,79,79,65,79,65,90,87,63,46
ENSG00000013725,0,5,5,0,0,3,0,2,3,4
ENSG00000013810,27,50,9,15,24,21,18,24,21,32
ENSG00000014257,0,0,0,0,0,0,0,0,0,0
ENSG00000015133,46,84,20,31,43,77,56,28,20,17
ENSG00000015285,4,17,0,8,4,6,14,5,13,11
ENSG00000015413,0,0,0,0,0,0,0,0,0,0
ENSG00000015520,0,0,0,0,0,0,7,0,0,0
ENSG00000015592,0,0,0,0,0,0,0,0,0,0
ENSG00000016082,0,0,0,0,0,0,0,0,0,0
ENSG00000016391,96,55,79,70,84,102,139,131,57,58
ENSG00000016402,3,64,3,13,2,0,20,37,5,0
ENSG00000016490,0,0,0,0,0,0,0,0,0,0
ENSG00000016602,0,0,0,0,0,0,0,0,0,0
ENSG00000017483,0,13,0,0,0,0,0,0,3,0
ENSG00000018236,5,32,30,33,25,25,33,45,14,24
ENSG00000018280,5,8,8,4,4,4,17,5,20,11
ENSG00000018607,0,0,0,0,0,0,0,0,0,0
ENSG00000019102,0,7,0,0,11,11,6,0,0,5
ENSG00000019186,0,0,0,0,0,0,0,0,0,0
ENSG00000019485,46,48,41,35,58,48,64,55,49,60
ENSG00000019505,2,3,10,7,6,4,6,7,7,7
ENSG00000019991,3,27,0,5,11,12,17,4,4,6
ENSG00000020219,0,2,0,0,0,0,0,1,0,0
ENSG00000020633,4,11,6,4,3,5,9,9,5,14
ENSG00000021461,0,0,0,0,0,0,0,0,0,0
ENSG00000021488,2,4,3,0,0,0,2,1,0,0
ENSG00000021645,6,8,22,2,2,0,6,2,2,3
ENSG00000021826,14,6,28,25,5,8,11,14,10,16
ENSG00000022355,0,0,0,0,0,0,0,0,0,0
ENSG00000022556,0,0,0,0,0,0,0,0,0,0
ENSG00000022567,43,53,61,28,34,28,40,42,40,33
ENSG00000023171,47,136,55,51,14,49,9,29,21,16
ENSG00000023445,30,35,32,23,52,49,42,39,34,74
ENSG00000023839,9,9,0,3,6,7,4,3,12,0
ENSG00000023892,0,14,4,0,3,16,4,0,4,13
ENSG00000024526,0,0,0,4,0,0,3,0,0,0
ENSG00000026559,0,0,0,0,0,0,0,0,0,0
ENSG00000026652,25,58,24,17,37,32,50,49,17,43
ENSG00000026751,2,4,3,3,2,4,3,0,3,3
ENSG00000027644,0,2,0,0,0,0,0,0,0,0
ENSG00000027869,4,3,0,0,2,0,0,0,2,0
ENSG00000028277,9,9,8,3,6,14,6,7,5,8
ENSG00000029153,0,14,5,4,0,4,2,10,3,5
ENSG00000029559,3,0,0,0,0,0,0,0,0,0
ENSG00000030304,10,43,6,0,5,9,0,7,13,0
ENSG00000030419,63,33,70,61,58,48,97,63,52,68
ENSG00000033170,33,91,42,27,22,42,46,38,16,44
ENSG00000034053,0,0,0,0,0,0,0,0,0,0
ENSG00000034239,0,0,0,0,0,0,0,0,0,0
ENSG00000035499,0,2,0,0,0,0,0,0,0,0
ENSG00000035720,0,3,0,0,0,0,0,0,0,0
ENSG00000036530,12,24,15,14,5,27,3,8,8,13
ENSG00000036565,0,0,0,0,0,0,0,0,0,0
ENSG00000036828,0,2,0,0,0,0,0,0,0,0
ENSG00000037280,61,114,69,42,65,124,158,121,93,99
ENSG00000038295,0,16,4,0,8,9,13,13,4,4
ENSG00000038945,8,51,8,2,10,59,13,6,15,45
ENSG00000039068,6,6,0,0,0,2,4,5,3,0
ENSG00000039139,0,2,0,1,0,0,2,0,0,0
ENSG00000039537,0,4,2,7,0,3,7,11,0,8
ENSG00000039560,21,59,28,23,25,36,47,29,16,30
ENSG00000039600,0,0,0,0,0,0,0,0,0,0
ENSG00000039987,0,0,0,0,0,0,0,0,0,0
ENSG00000040199,49,98,29,24,44,57,42,57,35,62
ENSG00000040608,4,10,5,0,0,0,6,4,3,9
ENSG00000040731,0,0,0,0,0,0,0,0,0,0
ENSG00000041353,12,3,3,0,3,0,6,4,0,0
ENSG00000041515,3,4,0,0,3,0,0,0,0,0
ENSG00000042304,0,0,0,0,0,0,0,0,0,0
ENSG00000042781,2,0,3,0,0,0,2,2,0,0
ENSG00000042813,0,0,0,0,0,0,0,0,0,0
ENSG00000042832,0,0,0,0,0,0,0,0,0,0
ENSG00000042980,4,15,8,0,3,11,0,7,4,6
ENSG00000043039,0,0,0,0,0,0,0,0,0,0
ENSG00000043355,0,0,0,0,0,0,0,0,0,0
ENSG00000043591,2,7,1,0,0,4,0,0,4,8
ENSG00000044012,0,0,0,0,0,0,0,0,0,0
ENSG00000044459,10,27,37,21,18,26,42,34,10,24
ENSG00000044524,24,115,14,17,22,44,11,12,11,41
ENSG00000046653,21,72,24,18,28,32,47,41,22,32
ENSG00000046774,0,0,0,0,0,0,0,0,0,0
ENSG00000047365,15,9,6,6,2,15,7,9,14,14
ENSG00000047617,18,16,11,4,20,16,15,19,7,0
ENSG00000048342,28,75,26,12,12,31,15,52,19,50
ENSG00000048471,70,183,101,65,116,138,133,128,92,115
ENSG00000048545,0,0,0,0,0,0,0,0,0,0
ENSG00000049089,0,6,0,3,3,2,0,0,0,2
ENSG00000049192,4,8,5,4,5,8,7,4,3,5
ENSG00000049249,0,4,0,0,0,4,0,0,0,3
ENSG00000050030,0,0,0,0,0,0,4,7,0,0
ENSG00000050327,5,0,0,0,6,0,0,0,0,8
ENSG00000050438,0,7,0,3,0,3,0,0,0,0
ENSG00000050555,0,0,0,0,0,0,0,2,0,0
ENSG00000050628,7,13,5,6,5,9,15,19,6,9
ENSG00000050730,0,0,0,0,0,0,0,0,0,0
ENSG00000052344,0,0,0,0,0,0,0,0,0,0
ENSG00000052850,9,17,22,38,13,28,25,27,23,17
ENSG00000053108,3,5,3,3,2,0,0,0,0,3
ENSG00000053747,47,69,45,51,65,73,103,84,19,70
ENSG00000054179,3,3,17,13,2,4,13,9,3,0
ENSG00000054356,0,0,0,0,0,0,0,0,0,0
ENSG00000054392,0,16,9,3,0,8,3,11,5,6
ENSG00000054796,0,0,0,0,0,0,0,0,0,0
ENSG00000054803,7,0,4,5,6,2,5,4,3,0
ENSG00000054938,17,69,24,17,40,31,22,27,32,23
ENSG00000055118,3,9,0,0,0,0,0,0,0,2
ENSG00000055732,12,53,5,4,3,6,12,4,15,10
ENSG00000055813,55,14,41,51,64,75,107,101,42,30
ENSG00000055957,0,0,0,0,0,0,0,0,0,0
ENSG00000056277,21,39,7,10,9,15,15,4,7,12
ENSG00000056291,0,0,0,0,0,0,0,0,0,0
ENSG00000056487,3,12,0,0,0,0,0,0,0,0
ENSG00000056558,80,93,56,44,52,53,61,47,51,47
ENSG00000056998,4,7,0,10,0,0,10,0,0,5
ENSG00000057149,0,0,0,0,0,0,0,0,0,0
ENSG00000057252,21,59,35,28,30,41,46,50,22,27
ENSG00000057468,4,6,3,3,11,2,5,3,5,2
ENSG00000057593,0,4,0,3,0,0,0,0,0,0
ENSG00000057657,13,26,3,9,8,43,22,18,9,11
ENSG00000058085,9,25,6,10,11,16,8,9,5,15
ENSG00000058335,0,2,0,0,0,0,0,0,2,0
ENSG00000060140,0,8,0,0,0,0,0,0,0,0
ENSG00000060303,0,0,0,0,0,0,0,0,0,0
ENSG00000060558,5,6,0,0,0,2,3,0,0,7
ENSG00000060566,0,0,0,0,0,0,0,0,0,0
ENSG00000060709,0,0,6,4,0,0,0,0,2,0
ENSG00000060718,0,79,7,3,0,2,0,0,0,8
ENSG00000060982,28,58,13,10,15,31,24,10,12,29
ENSG00000061337,34,73,15,15,28,48,36,40,25,22
ENSG00000061455,4,2,5,5,0,3,6,5,4,7
ENSG00000061492,0,0,0,0,0,0,0,0,0,0
ENSG00000061656,0,0,0,0,0,0,0,2,0,0
ENSG00000062038,0,2,2,0,0,0,1,1,0,1
ENSG00000062096,0,0,0,0,0,0,0,0,0,0
ENSG00000062282,16,34,11,24,23,11,10,21,6,15
ENSG00000062370,28,58,36,27,17,21,42,36,19,24
ENSG00000063127,2,15,3,6,3,7,1,10,11,3
ENSG00000063515,0,0,0,0,0,0,0,0,0,0
ENSG00000063587,89,120,108,81,52,56,130,81,60,77
ENSG00000064195,0,3,0,0,0,0,0,0,0,0
ENSG00000064201,0,8,3,3,0,0,3,0,0,0
ENSG00000064218,0,2,8,2,2,3,3,3,7,3
ENSG00000064270,3,3,1,0,0,0,2,0,1,1
ENSG00000064309,27,147,43,27,27,41,40,36,28,41
ENSG00000064547,0,16,3,8,0,4,2,0,5,11
ENSG00000064655,13,14,22,37,8,12,26,41,7,11
ENSG00000064692,3,37,3,8,7,26,17,22,0,9
ENSG00000064835,0,0,0,0,0,0,0,0,0,0
ENSG00000064886,0,0,0,0,0,0,0,0,0,0
ENSG00000065320,26,67,28,23,46,38,44,47,20,44
ENSG00000065325,0,0,0,0,0,0,0,0,0,0
ENSG00000065328,3,3,0,3,0,6,0,6,0,0
ENSG00000065371,0,0,0,0,0,0,0,0,0,0
ENSG00000065600,6,19,6,0,5,6,6,12,6,8
ENSG00000065609,0,0,4,3,0,0,0,0,0,0
ENSG00000065618,0,0,0,0,0,0,0,1,0,0
ENSG00000065621,10,6,9,2,8,10,4,5,6,4
ENSG00000065923,151,282,161,145,228,184,52,183,170,139
ENSG00000066032,6,9,12,6,10,4,5,8,5,2
ENSG00000066279,3,3,3,0,3,6,6,0,0,0
ENSG00000066294,20,57,7,9,10,23,20,14,9,42
ENSG00000066405,0,0,0,0,0,0,0,0,0,0
ENSG00000066468,0,0,0,0,0,0,0,0,0,0
ENSG00000066735,27,55,48,47,31,60,58,44,26,31
ENSG00000066813,0,0,0,0,0,0,0,0,0,0
ENSG00000067646,47,29,71,73,102,39,52,53,36,67
ENSG00000067715,0,5,2,1,6,1,5,0,0,0
ENSG00000067840,17,81,40,26,33,34,48,51,12,29
ENSG00000067842,0,0,0,0,0,0,0,0,0,0
ENSG00000067992,10,8,12,6,3,14,11,12,8,10
ENSG00000068078,4,0,0,0,0,0,5,4,0,3
ENSG00000068781,4,4,0,0,22,0,0,3,0,4
ENSG00000068784,50,64,45,21,37,29,31,53,55,43
ENSG00000068985,0,0,0,0,0,0,0,0,0,0
ENSG00000069018,0,0,0,0,0,0,0,0,0,0
ENSG00000069188,0,15,0,0,0,0,4,3,0,0
ENSG00000069206,0,0,0,0,0,0,0,0,0,0
ENSG00000069482,0,0,0,0,0,0,0,0,0,0
ENSG00000069696,0,5,0,0,0,0,0,0,0,0
ENSG00000069712,16,17,35,22,20,8,21,14,15,31
ENSG00000069764,0,2,0,0,0,0,0,0,0,0
ENSG00000069812,0,0,0,0,0,0,0,0,0,0
ENSG00000070190,15,18,11,2,4,7,24,11,22,5
ENSG00000070193,0,2,0,8,0,4,0,4,0,6
ENSG00000070269,57,74,49,43,46,37,52,65,45,28
ENSG00000070388,2,3,4,0,0,0,3,0,2,0
ENSG00000070526,0,7,7,3,6,9,12,11,5,5
ENSG00000070729,0,0,0,0,0,0,0,0,0,0
ENSG00000070748,0,0,0,0,0,0,0,0,0,0
ENSG00000070882,67,128,53,37,57,47,40,17,54,41
ENSG00000070886,0,0,0,0,0,0,0,0,0,0
ENSG00000070915,0,0,0,0,0,0,0,0,0,0
ENSG00000070985,0,0,0,0,0,0,0,0,0,0
ENSG00000071073,43,81,68,54,55,65,88,101,65,80
ENSG00000071203,0,0,0,0,0,0,0,0,0,0
ENSG00000071677,0,0,0,0,0,0,0,0,0,0
ENSG00000071991,4,0,0,0,4,0,10,11,0,11
ENSG00000072041,0,0,0,0,0,0,0,0,0,0
ENSG00000072071,11,67,31,33,25,51,43,23,18,34
ENSG00000072080,0,0,0,0,0,0,0,0,0,0
ENSG00000072133,3,25,6,3,7,10,0,5,0,6
ENSG00000072315,0,0,0,0,0,0,0,0,0,0
ENSG00000072571,5,0,12,0,0,5,6,3,5,0
ENSG00000072657,5,4,4,3,11,8,7,14,8,6
ENSG00000072694,40,59,12,13,13,16,11,32,16,34
ENSG00000072858,6,10,5,7,5,12,5,6,4,7
ENSG00000073067,0,0,0,0,0,0,0,0,0,0
ENSG00000073146,1,0,0,0,2,2,3,0,0,0
ENSG00000073150,3,5,0,0,0,8,3,0,0,0
ENSG00000073331,41,99,34,36,27,37,61,39,32,53
ENSG00000073350,13,11,7,7,8,3,27,12,9,14
ENSG00000073670,0,8,3,0,0,0,0,0,5,3
ENSG00000073734,0,0,0,0,0,0,0,0,0,0
ENSG00000073737,3,6,0,0,0,0,0,0,0,0
ENSG00000073754,0,0,0,0,0,0,0,0,0,0
ENSG00000073756,0,5,0,0,4,3,8,13,6,7
ENSG00000073792,18,18,22,15,13,15,14,12,10,10
ENSG00000073861,0,0,0,2,0,3,0,0,0,0
ENSG00000074047,11,32,14,7,6,19,16,15,15,15
ENSG00000074211,2,3,5,3,7,9,4,8,0,0
ENSG00000074276,4,0,3,1,2,0,1,2,0,2
ENSG00000074317,20,7,9,7,0,8,8,6,0,14
ENSG00000074370,22,40,25,23,24,39,38,35,30,30
ENSG00000074410,0,8,4,3,0,0,0,4,0,5
ENSG00000074706,0,0,0,0,3,4,0,0,0,0
ENSG00000074771,0,0,0,0,0,0,0,0,0,0
ENSG00000074803,0,0,0,0,0,0,0,0,0,0
ENSG00000074966,0,5,3,4,3,5,3,5,0,0
ENSG00000075035,0,10,7,0,0,1,3,2,0,7
ENSG00000075043,0,2,0,0,0,0,0,0,0,0
ENSG00000075213,0,9,0,2,0,3,0,6,0,0
ENSG00000075218,0,0,0,0,0,4,0,0,0,0
ENSG00000075275,0,9,5,2,5,0,6,6,0,10
ENSG00000075290,0,0,0,3,0,0,0,0,0,0
ENSG00000075340,6,10,8,12,5,16,7,10,9,5
ENSG00000075388,0,0,0,0,0,0,0,0,0,0
ENSG00000075407,123,156,133,127,133,129,177,142,104,100
ENSG00000075429,0,0,0,0,0,0,0,0,0,0
ENSG00000075461,0,5,0,0,0,0,4,3,4,0
ENSG00000075643,58,19,8,4,12,15,30,26,27,39
ENSG00000075651,38,94,21,16,28,30,30,56,26,61
ENSG00000075673,0,0,0,0,0,0,0,0,0,0
ENSG00000075884,14,17,12,12,11,20,22,15,2,27
ENSG00000075891,0,0,0,0,0,0,0,0,0,0
ENSG00000076258,15,16,14,7,8,18,6,3,0,5
ENSG00000076604,11,20,2,0,4,13,12,9,6,27
ENSG00000076826,0,0,3,2,0,0,0,0,0,3
ENSG00000076864,2,3,0,0,0,0,0,0,0,0
ENSG00000077063,6,14,0,7,7,13,5,0,0,3
ENSG00000077080,0,0,0,0,0,0,0,0,0,0
ENSG00000077238,10,47,57,20,44,59,68,56,61,36
ENSG00000077264,4,12,7,6,7,10,7,8,3,8
ENSG00000077279,0,6,0,3,0,6,3,3,0,5
ENSG00000077420,7,22,14,9,5,12,13,7,10,13
ENSG00000077498,0,0,0,0,0,0,0,0,0,0
ENSG00000077713,16,35,20,24,21,22,25,26,15,24
ENSG00000077800,0,0,0,0,0,0,0,0,0,0
ENSG00000077935,0,0,0,0,0,0,0,0,0,0
ENSG00000078018,30,80,33,43,46,52,49,53,31,45
ENSG00000078081,21,11,0,0,0,6,7,0,12,12
ENSG00000078114,14,18,27,23,40,24,48,37,14,33
ENSG00000078124,21,9,39,49,11,52,18,35,13,17
ENSG00000078177,35,39,28,28,44,43,36,32,12,21
ENSG00000078549,26,24,20,18,13,26,40,36,14,12
ENSG00000078579,0,0,0,0,0,0,0,0,0,0
ENSG00000078589,0,0,0,0,0,0,0,0,0,0
ENSG00000078725,0,4,5,4,2,5,0,0,0,0
ENSG00000078898,0,0,0,0,0,0,0,0,0,0
ENSG00000079112,0,3,0,0,0,0,0,0,0,0
ENSG00000079335,13,38,13,13,24,32,18,27,16,17
ENSG00000079482,94,81,88,86,81,86,118,100,89,112
ENSG00000079557,0,0,0,0,0,0,0,0,0,0
ENSG00000079689,0,0,0,0,0,0,0,0,0,0
ENSG00000079691,8,31,11,11,8,10,16,8,8,8
ENSG00000079841,0,0,3,5,4,0,8,17,4,4
ENSG00000079931,0,7,3,0,0,0,0,0,0,7
ENSG00000080031,0,0,0,0,0,0,0,0,0,0
ENSG00000080166,10,9,8,7,11,4,4,6,5,16
ENSG00000080224,0,0,0,0,0,0,0,0,0,0
ENSG00000080293,0,0,0,0,0,0,0,0,0,0
ENSG00000080298,46,70,104,60,50,31,87,68,51,48
ENSG00000080493,18,26,21,18,31,14,23,25,36,45
ENSG00000080511,0,0,0,0,0,0,0,0,0,0
ENSG00000080572,0,0,0,0,0,0,0,0,0,0
ENSG00000080618,0,0,0,0,0,0,0,0,0,0
ENSG00000080644,2,0,1,0,0,0,0,0,0,0
ENSG00000080986,0,10,0,0,0,0,0,0,0,0
ENSG00000081051,0,0,0,0,0,0,0,0,0,0
ENSG00000081138,0,0,0,0,0,0,0,0,0,0
ENSG00000081148,0,9,5,0,2,3,0,3,2,3
ENSG00000081237,30,63,14,7,21,34,36,50,33,38
ENSG00000081320,27,99,26,18,24,35,45,48,24,49
ENSG00000081479,0,3,0,0,0,0,0,0,0,0
ENSG00000081800,0,0,0,0,0,0,0,0,0,0
ENSG00000081842,0,0,0,0,0,0,0,0,0,2
ENSG00000081913,49,82,72,73,74,71,116,101,87,74
ENSG00000082074,3,27,11,7,6,12,20,14,7,18
ENSG00000082126,0,8,0,0,0,0,0,0,0,0
ENSG00000082175,17,27,29,18,16,20,19,13,12,7
ENSG00000082293,16,85,0,0,0,3,3,4,4,0
ENSG00000082438,90,177,89,82,112,122,105,116,64,121
ENSG00000082458,27,47,29,20,24,24,33,35,14,21
ENSG00000082482,6,11,8,4,3,2,4,9,5,10
ENSG00000082556,0,0,0,0,0,0,0,0,0,0
ENSG00000082684,5,24,5,13,9,21,19,11,2,8
ENSG00000082929,0,0,0,0,0,0,0,0,0,0
ENSG00000083093,35,72,35,30,33,49,54,54,18,23
ENSG00000083307,0,0,0,0,0,0,0,0,0,0
ENSG00000083622,0,0,0,0,0,0,0,0,0,0
ENSG00000083782,0,0,0,0,0,0,0,0,0,0
ENSG00000083817,46,45,18,22,21,29,23,26,23,24
ENSG00000083844,83,160,91,88,92,96,126,130,9,72
ENSG00000084110,0,0,0,0,0,3,2,0,0,0
ENSG00000084444,16,28,15,14,20,18,13,23,15,24
ENSG00000084453,0,0,0,0,0,0,0,0,0,0
ENSG00000084674,5,5,5,3,4,0,6,4,0,0
ENSG00000084710,127,120,64,72,113,104,132,107,99,45
ENSG00000084731,18,53,32,19,20,46,19,23,19,17
ENSG00000084734,0,0,0,0,0,0,0,0,0,0
ENSG00000085185,8,60,53,42,38,81,59,65,47,70
ENSG00000085265,10,36,23,6,8,12,12,12,17,26
