"","TypeI","Type2a","Type2a2x","colMax","ID","Filename","Type","Exercise","Laminin","Area","Sample","FibreType"
"1",0.0853658536585371,306.243902439024,359.560975609756,359.560975609756,149,"PL1","FT"," Pre",242,3368.16283924843,"P4","Type2a2x"
"2",0.0891089108910847,193.57095709571,355.382838283828,355.382838283828,38,"AB1","FT"," Pre",294,2145.5114822547,"P3","Type2a2x"
"3",0.0891089108910847,234.57095709571,515.382838283828,515.382838283828,383,"AB1","FT"," Pre",414,7041.44050104384,"P3","Type2a2x"
"4",0.0891089108910847,440.57095709571,458.382838283828,458.382838283828,354,"AB1","FT"," Pre",372,6704.4885177453,"P3","Type2a2x"
"5",0.0925110132158622,370.330396475771,70.1497797356828,370.330396475771,95,"PJ1","FT"," Pre",278,7055.11482254697,"P5","Type2a"
"6",0.0925110132158622,449.330396475771,76.1497797356828,449.330396475771,42,"PJ1","FT"," Pre",374,1670.98121085595,"P5","Type2a"
"7",0.0925110132158622,455.330396475771,52.1497797356828,455.330396475771,210,"PJ1","FT"," Pre",214,4122.3382045929,"P5","Type2a"
"8",0.0925110132158622,876.330396475771,127.149779735683,876.330396475771,459,"PJ1","FT"," Pre",267,6057.0981210856,"P5","Type2a"
"9",0.327402135231317,30.2064056939502,309.074733096085,309.074733096085,197,"M1189-16","FT"," Pre",238,7579.33194154489,"C2","Type2a2x"
"10",0.37777777777778,40.8944444444444,23.3074074074074,40.8944444444444,981,"M1217-16","FT"," Pre",237,1632.88100208768,"C4","Type2a"
"11",0.556962025316459,30.3322784810127,29.1012658227848,30.3322784810127,64,"JG4","FT","Post",420,1604.80167014614,"P1","Type2a"
"12",0.556962025316459,34.3322784810127,8.10126582278481,34.3322784810127,726,"JG4","FT","Post",233,868.162839248434,"P1","Type2a"
"13",0.573684210526309,221.881578947368,1028.58421052632,1028.58421052632,269,"DS1","FT"," Pre",393,1057.20250521921,"P2","Type2a2x"
"14",0.573684210526309,363.881578947368,585.584210526316,585.584210526316,337,"DS1","FT"," Pre",469,3260.02087682672,"P2","Type2a2x"
"15",0.573684210526309,499.881578947368,58.5842105263158,499.881578947368,14,"DS1","FT"," Pre",296,3528.91440501044,"P2","Type2a"
"16",0.573684210526309,744.881578947368,113.584210526316,744.881578947368,56,"DS1","FT"," Pre",340,5323.79958246347,"P2","Type2a"
"17",0.573684210526309,777.881578947368,95.5842105263158,777.881578947368,73,"DS1","FT"," Pre",308,5333.61169102296,"P2","Type2a"
